ACCESSION_NUMBER,ID,ISSUEJURISDICTIONSECUROFFERING
0001062993-25-012170,38,OR
0001062993-25-012170,40,PR
0001062993-25-012170,42,SC
0001062993-25-012170,44,TN
0001062993-25-012170,29,NV
0001062993-25-012170,31,NJ
0001062993-25-012170,33,NY
0001062993-25-012170,35,ND
0001062993-25-012170,37,OK
0001062993-25-012170,39,PA
0001062993-25-012170,41,RI
0001062993-25-012170,43,SD
0001062993-25-012170,45,TX
0001062993-25-012170,47,VT
0001062993-25-012170,49,WA
0001062993-25-012170,51,WI
0001062993-25-012170,46,UT
0001062993-25-012170,48,VA
0001062993-25-012170,50,WV
0001062993-25-012170,52,WY
0001062993-25-012170,2,AK
0001062993-25-012170,4,AR
0001062993-25-012170,6,CO
0001062993-25-012170,8,DE
0001062993-25-012170,10,FL
0001062993-25-012170,12,HI
0001062993-25-012170,14,IL
0001062993-25-012170,16,IA
0001062993-25-012170,18,KY
0001062993-25-012170,20,ME
0001062993-25-012170,3,AZ
0001665160-25-001249,2,AK
0001665160-25-001249,51,WI
0001665160-25-001249,6,CO
0001665160-25-001249,8,DC
0001665160-25-001249,10,FL
0001665160-25-001249,12,HI
0001665160-25-001249,14,IL
0001665160-25-001249,16,IA
0001665160-25-001249,18,KY
0001665160-25-001249,20,ME
0001665160-25-001249,22,MA
0001665160-25-001249,24,MN
0001665160-25-001249,26,MO
0001665160-25-001249,28,NE
0001665160-25-001249,30,NH
0001665160-25-001249,32,NM
0001665160-25-001249,34,NC
0001665160-25-001249,36,OH
0001665160-25-001249,38,OR
0001665160-25-001249,40,PR
0001665160-25-001249,42,SC
0001665160-25-001249,44,TN
0001665160-25-001249,46,UT
0001665160-25-001249,48,VA
0001665160-25-001249,50,WV
0001665160-25-001249,52,WY
0001665160-25-001249,1,AL
0001665160-25-001249,3,AZ
0001665160-25-001249,5,CA
0001665160-25-001249,7,CT
0001665160-25-001249,9,DE
0001665160-25-001249,11,GA
0001665160-25-001249,13,ID
0001665160-25-001249,15,IN
0001665160-25-001249,17,KS
0001665160-25-001249,19,LA
0001665160-25-001249,21,MD
0001665160-25-001249,23,MI
0001665160-25-001249,25,MS
0001665160-25-001249,27,MT
0001665160-25-001249,29,NV
0001665160-25-001249,31,NJ
0001665160-25-001249,33,NY
0001665160-25-001249,35,ND
0001665160-25-001249,37,OK
0001665160-25-001249,39,PA
0001665160-25-001249,41,RI
0001665160-25-001249,43,SD
0001665160-25-001249,45,TX
0001665160-25-001249,47,VT
0001665160-25-001249,49,WA
0001665160-25-001249,4,AR
0001733164-25-000004,48,VA
0001733164-25-000004,46,UT
0001733164-25-000004,47,VT
0001733164-25-000004,49,WA
0001733164-25-000004,9,DC
0001733164-25-000004,11,GA
0001733164-25-000004,13,ID
0001733164-25-000004,15,IN
0001733164-25-000004,17,KS
0001733164-25-000004,19,LA
0001733164-25-000004,21,MD
0001733164-25-000004,23,MI
0001733164-25-000004,25,MS
0001733164-25-000004,27,MT
0001733164-25-000004,29,NV
0001733164-25-000004,31,NJ
0001733164-25-000004,33,NY
0001733164-25-000004,35,ND
0001733164-25-000004,37,OK
0001733164-25-000004,39,PA
0001733164-25-000004,41,RI
0001733164-25-000004,43,SD
0001733164-25-000004,45,TX
0001733164-25-000004,50,WV
0001733164-25-000004,52,WY
0001733164-25-000004,54,A1
0001733164-25-000004,56,A3
0001733164-25-000004,58,A5
0001733164-25-000004,60,A7
0001733164-25-000004,62,A9
0001733164-25-000004,64,Z4
0001733164-25-000004,1,AL
0001733164-25-000004,3,AZ
0001733164-25-000004,5,CA
0001733164-25-000004,7,CT
0001733164-25-000004,53,A0
0001733164-25-000004,55,A2
0001733164-25-000004,57,A4
0001733164-25-000004,59,A6
0001733164-25-000004,61,A8
0001733164-25-000004,63,B0
0001733164-25-000004,2,AK
0001733164-25-000004,4,AR
0001733164-25-000004,6,CO
0001733164-25-000004,8,DE
0001733164-25-000004,10,FL
0001733164-25-000004,12,HI
0001733164-25-000004,14,IL
0001733164-25-000004,16,IA
0001733164-25-000004,18,KY
0001733164-25-000004,20,ME
0001733164-25-000004,22,MA
0001733164-25-000004,24,MN
0001733164-25-000004,26,MO
0001733164-25-000004,28,NE
0001733164-25-000004,30,NH
0001733164-25-000004,32,NM
0001733164-25-000004,34,NC
0001733164-25-000004,36,OH
0001733164-25-000004,38,OR
0001733164-25-000004,40,PR
